titulo,empresa,ubicacion,enlace
Analista  de Gestión Administrativo IT Experiencia en el área Tecnología y SIG,No disponible,"4,5
                




                Agencia De Aduanas Siaco S.A.S (Repremundo)",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-administrativo-it-experiencia-en-el-area-tecnologia-y-sig-fontibon-san-jose-en-bogota-dc-40406C42373EF57161373E686DCF3405#lc=ListOffers-Score-0
Técnico o tecnólogo electricista o telecomunicaciones,No disponible,"4,6
                




                IGGA SAS",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-o-tecnologo-electricista-o-telecomunicaciones-con-matricula-conte-en-bogota-dc-16425DEEFC3F0B4461373E686DCF3405#lc=ListOffers-Score-1
Desarrollador/a,No disponible,Importante empresa del sector,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladora-con-enfoque-ia-y-automatizacion-en-bogota-dc-B49BFFB864D2D32061373E686DCF3405#lc=ListOffers-Score-2
Técnico De infraestructura Tecnológica,No disponible,"4,5
                




                EMPRESA DE TRANSPORTE INTEGRADO DE BOGOTA S.A.S (ETIB)",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-infraestructura-tecnologica-it-mantenimiento-de-equipos-tecnologicos-en-bogota-dc-854EA9B7B0A4901A61373E686DCF3405#lc=ListOffers-Score-3
Analista de gestión TI Bogotá,No disponible,"4,8
                




                COLGAS S.A. E.S.P.",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-gestion-ti-bogota-en-bogota-dc-1708EC01669DC3A161373E686DCF3405#lc=ListOffers-Score-4
Técnico de Seguridad Electrónica Bogota,No disponible,GRUPO RECORD DE COLOMBIA,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-de-seguridad-electronica-bogota-con-moto-en-bogota-dc-B8BEB755C12BB7A561373E686DCF3405#lc=ListOffers-Score-5
Desarrollador,No disponible,"4,5
                




                Colcan  S.A.S",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-semi-senior-en-bogota-dc-7DB572FE9D5C082B61373E686DCF3405#lc=ListOffers-Score-6
Analista de sistemas Audiovisuales,No disponible,AXITY CHILE SPA,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-sistemas-audiovisuales-y-gestion-de-activos-bogota-presencial-en-bogota-dc-49173ED046EF675C61373E686DCF3405#lc=ListOffers-Score-7
Coordinador de tecnología,No disponible,NEUROPUBLICO,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-coordinador-de-tecnologia-en-bogota-dc-C2873A388F02F1E661373E686DCF3405#lc=ListOffers-Score-8
Desarrollador,No disponible,"4,5
                




                Colcan  S.A.S",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-junior-en-bogota-dc-6A4C063D83D3BAE661373E686DCF3405#lc=ListOffers-Score-9
GTR / Controller / Datamarshall / Torre de control,No disponible,Reconocida compañia de Call Center,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-gtr-controller-datamarshall-torre-de-control-manejo-de-excel-intermedio-avanzado-en-bogota-dc-40897478B4868B9861373E686DCF3405#lc=ListOffers-Score-10
Desarrollador FullStack,No disponible,Importante empresa del sector Tecnología,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-desarrollador-fullstack-en-bogota-dc-1898F4E770D45A9561373E686DCF3405#lc=ListOffers-Score-11
Technical Support Engineer,No disponible,"4,6
                




                Sutherland Global Services SGS",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-technical-support-engineer-bilingual-c1-english-en-bogota-dc-510449260BE6141B61373E686DCF3405#lc=ListOffers-Score-12
Tecnico instalador en telecomunicación,No disponible,AGETEL COMUNICACIONES,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-tecnico-instalador-en-telecomunicacion-tecnico-instalador-en-telecomunicacion-en-bogota-dc-AB285E6A844AF10061373E686DCF3405#lc=ListOffers-Score-13
Analista Desarrollador Senior,No disponible,Importante empresa del sector,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-desarrollador-senior-ingeniero-de-sistemas-programacion-en-bogota-dc-22590DD124DCFE9261373E686DCF3405#lc=ListOffers-Score-14
Analista parque automotor,No disponible,TABASCO OC,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-parque-automotor-en-bogota-dc-34A4EC2D01AD0F1761373E686DCF3405#lc=ListOffers-Score-15
Auxiliar de soporte técnico,No disponible,Importante empresa del sector Retail,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-soporte-tecnico-toberin-en-bogota-dc-72484974B775919D61373E686DCF3405#lc=ListOffers-Score-16
Conductor Ayudante Obra Civil,No disponible,"4,3
                




                SICTE SAS",https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-conductor-ayudante-obra-civil-en-bogota-dc-D34652804704DF7161373E686DCF3405#lc=ListOffers-Score-17
Generación de demanda IT,No disponible,Empresa del sector servicios de Tecnología IT b2b,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-generacion-de-demanda-it-tecnologia-it-para-empresas-en-bogota-dc-A78FBD6AFF4F863B61373E686DCF3405#lc=ListOffers-Score-18
Analista de soporte e infraestructura,No disponible,Importante empresa del sector salud,https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-soporte-e-infraestructura-en-bogota-dc-6D678AE73099D7DF61373E686DCF3405#lc=ListOffers-Score-19
